ISO;Label;Population;Superficie;HDI
PSE;Palestine;4816500;6020;0.686
QAT;Qatar;2401600;11;586;0.834
ARE;Émirats Arabes Unis;9446000;83600;0.818
BHR;Bahreïn;1404900;758;0.796
KWT;Koweït;4183660;17818;0.790
SAU;Arabie Saoudite;33554343;2149690;0.782
LBY;Libye;6653000;1759540;0.769
LBN;Liban;6229794;10452;0.745
OMN;Oman;4613241;309500;0.731
DZA;Algérie;42008054;2381741;0.713
TUN;Tunisie;11446300;163610;0.712
JOR;Jordanie;6706051;89342;0.700
EGY;Égypte;99375741;1001450;0.662
SYR;Syrie;18090242;185180;0.648
MAR;Maroc;36069786;446550;0.591
IRQ;Irak;39339753;438317;0.590
MRT;Mauritanie;3758751;1030700;0.467
YEM;Yémen;28036829;527968;0.458
DJI;Djibouti;907127;23200;0.445
COM;Comores;1071229;2235;0.429
SDN;Soudan;41511526;1861484;0.414
SOM;Somalie;12316895;637657;0.364